201108292012A,MAL12065063ACRZ,ARCOXIA 30MG TABLET,PRODUCT APPROVED,NEW CHEMICAL ENTITY,MERCK SHARP & DOHME (MALAYSIA) SDN BHD,Rovi Pharma Industrial Services S.A
201009270002A,MAL11055001AZ,NASONIDE Nasal Spray 55mcg/dose,PRODUCT APPROVED,PRESCRIPTION,HOE PHARMACEUTICALS SDN. BHD.,HOE PHARMACEUTICALS SDN. BHD.
201012160002T,MAL11085021TC,KAPSUL BUASIR RPM 400MG,PRODUCT APPROVED,NATURAL PRODUCT,RAHSIA PUSAKA MELAYU,RPM HERBS INDUSTRIES
201010260004A,MAL12035001ACZ,Ridkline Tablets 2mgh,PRODUCT APPROVED,PRESCRIPTION,"THE ZYFAS MEDICAL CO.,",Dr. Reddys Laboratories Limited
201106232013X,MAL12095095XC,FluiFort -2.7g Sachet,PRODUCT APPROVED,NON PRESCRIPTION,EURODRUG LABORATORIES (M) SDN BHD,POLIPHARM CO.LTD
201303262030T,MAL13115006TC,BIO NICE MISTURA FU KUI BA WEI,PRODUCT APPROVED,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD
201112050001N,MAL12085009N,NATURE'S BOUNTY Omega-3 Fish Oil 1360mg,PRODUCT APPROVED,HEALTH SUPPLEMENT,NEWAGE SDN. BHD.,"Nature""s Bounty, Inc."
201203212013A,MAL14035007ACRZ,Duromine capsule 30mg,PRODUCT APPROVED,PRESCRIPTION,iNova Pharmaceuticals (Singapore) Pte Ltd (incorporated In Singapore) Malaysia Branch,Douglas Manufacturing Limited
201011030002N,MAL11035020NCR,Safwa Health Vitamin C Complex,PRODUCT APPROVED,HEALTH SUPPLEMENT,Safwa Health Products Sdn. Bhd.,CATALENT AUSTRALIA PTY LTD
201106152021T,MAL12025001TC,VP CORDY COLD PLUS,PRODUCT APPROVED,NATURAL PRODUCT,Greentech Empires Enterprise,Ming Yi Holding Sdn Bhd
201010260005A,MAL13025037ACZ,Gridokline Tablets 75mg,PRODUCT APPROVED,PRESCRIPTION,"THE ZYFAS MEDICAL CO.,",Dr. Reddy`s Laboratories Ltd.
201203122014X,MAL12085078X,CHEMISEPT G ( Skin antiseptic liquid ),PRODUCT APPROVED,NON PRESCRIPTION,Chemi-pharm Malaysia Sdn. Bhd.,Chemi-Pharm AS
