nama_premis,alamat,nama_jalan,bandar,daerah,negeri,poskod,jenis_urus_niaga,pdl_pp_tkh_kuatkuasa_hingga
17TH MILES LIFE PHARMACY PLT [17TH MILE LIFE PHARMACY],"Ground Floor, Lot 1630, Block 5, SSLD",Kuching-Serian Road,Siburan,Kuching,Sarawak,94200,Runcit,2020/12/31 00:00:00.000
51 Avenue Pharmacy Sdn Bhd [Farmasi Alpha.com],"No 50, 51 & 51A",Jalan Raja Harun,Kajang,Hulu Langat,Selangor,43000,Borong & Runcit,2020/12/31 00:00:00.000
630 PHARMACY,Lot 7988,Pusat bandar Baru Permyjaya,Miri,Miri,Sarawak,98017,Runcit,2020/12/31 00:00:00.000
A Med Plus Pharmacy PLT [A PLUS PHARMACY],"Lot 34, Ground Floor, Plaza Grand Millennium",Jalan Penampang Bypass,Penampang,Penampang,Sabah,88300,Runcit,2020/12/31 00:00:00.000
A Med Plus Pharmacy PLT. (LLP0015974-LGN) [A Plus Pharmacy],"Lot 42-0, Blok E, Ground Floor, Lorong Plaza 333-6, Plaza 333, Kobusak Commercial Centre",Jalan Pintas Penampang,Penampang,Penampang,Sabah,89500,Runcit,2020/12/31 00:00:00.000
A-REMEDY PHARMACY SDN BHD [Farmasi A-Remedy],3089,"Jalan Rohzan, Taman Rohzan",Bukit Mertajam,Seberang Perai Tengah,Pulau Pinang,14000,Runcit,2020/12/31 00:00:00.000
A3 PHARMACARE SDN BHD [FARMASI ARIF],"A29, GROUND FLOOR, JALAN 2,",Jalan Kelab Cinta Sayang,Sungai Petani,Kuala Muda,Kedah,08000,Runcit,2020/12/31 00:00:00.000
A3 PHARMACARE SDN. BHD. [FARMASI DESA AMAN],14,"Jalan DA S2/1, Seksyen 2 Desa Aman",Padang Serai,Kulim,Kedah,09410,Runcit,2020/12/30 00:00:00.000
AA Chemist Sdn Bhd [AA Pharmacy],No 10-0,Lorong Batu Nilam 4B Bandar Bukit Tinggi,Klang,Klang,Selangor,41200,Runcit,2020/12/31 00:00:00.000
AAG Healthcare Sdn Bhd [Farmasi Srisuria],No 10 & 10-1,Jalan Seri Putra 1/4 Bandar Seri Putra,Kajang,Hulu Langat,Selangor,43000,Runcit,2020/12/31 00:00:00.000
AAG HEALTHCARE SDN. BHD. [FARMASI SERI SURIA],NO. 80,"Jalan Timur 6/1b, Mercato@Enstek",Bandar Enstek,Seremban,Negeri Sembilan,71760,Runcit,2020/12/31 00:00:00.000
Aalsum Pharmas Sdn Bhd,36-3 Setia Avenue,"Jalan Setia Prima S U13/S, Setia Alam, Seksyen U 13,",Shah Alam,Petaling,Selangor,40170,Runcit,2020/12/31 00:00:00.000
Accent Wellness Global Sdn Bhd,Lot SS22-S23 & S29 2nd Floor SJMC No 1,Jalan SS 12/1A,Subang Jaya,Petaling,Selangor,47500,Runcit,2020/12/31 00:00:00.000
ACCURICH GREEN SDN. BHD. [Emonvox Pharmacy],"3564A, Ground Floor","Tmn Sin Hoe, Bukit Baru",Melaka,Melaka Tengah,Melaka,75150,Runcit,2020/12/31 00:00:00.000
Ace Caring Pharmacy Sdn Bhd [Caring Pharmacy],17,Jalan USJ 10/1E,Subang Jaya,Petaling,Selangor,47620,Runcit,2020/12/31 00:00:00.000
ACE Compounding Sdn Bhd,No G-1B Ground Floor Bio-X Centre,Persiaran Cyberpoint Selatan Cyber 8,Cyberjaya,Sepang,Selangor,63000,Runcit,2020/12/31 00:00:00.000
Acme Pharmacy,37,Jalan Menteri Pekan Sabak Bernam,Sabak Bernam,Sabak Bernam,Selangor,45200,Runcit,2020/12/31 00:00:00.000
Action Advocator Sdn Bhd [AA Pharmacy],No 46,Jalan Mamanda 9 Taman Dato' Ahmad Razali,Ampang,Hulu Langat,Selangor,68000,Runcit,2020/12/31 00:00:00.000
ACTION APPROACH SDN BHD [AA PHARMACY],No G-01 Tingkat Bawah,"Wisma Bukit Bintang, No. 28, Jalan Bukit Bintang",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,55100,Runcit,2020/12/31 00:00:00.000
Activecare Pharmacy Sdn. Bhd.,No. 5,"Jalan Sagu 14, Taman Daya",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
ADAWIAH HEALTHCARE [FARMASI LOVE & CARE],No.13,"Jalan Bistari Utama, Taman Bistari",Tongkang Pecah,Batu Pahat,Johor,83010,Runcit,2020/12/31 00:00:00.000
AE GANGSA HEALTHCARE [GANGSA FARMASI],MB-0-08,"Jalan SB Utama, Taman Seri Bayan",Durian Tunggal,Alor Gajah,Melaka,76100,Runcit,2020/12/31 00:00:00.000
Aegle Pharma Sdn. Bhd. [Aegle Pharma],"Unit No C-G-3,","BOULEVARD BUSINESS PARK, OFF JALAN KUCHING",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,51100,Runcit,2020/12/31 00:00:00.000
Aeon Co (M) Bhd [Aeon Wellness],"Lot G125-W, Aeon Bandar Utama, 1 Utama CTR, No 1","Lebuh Bandar Utama, Bandar Utama",Petaling Jaya,Petaling,Selangor,47800,Runcit,2020/12/31 00:00:00.000
Aeon Co (M) Bhd [Farmasi Aeon Wellness],C 5 & 6 Concourse Floor Atria Shopping Gallery Atria Damansara,Jalan SS 22/23 Damansara Jaya,Petaling Jaya,Petaling,Selangor,47400,Runcit,2020/12/31 00:00:00.000
AEON CO. (M) BHD,"LOT F50& F51, FIRST FLOOR 1, AEON TEBRAU CITY SHOPPING CENTRE","Jalan Desa Tebrau, Taman Desa Tebrau",Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
AEON Co. (M) Bhd (AEON Wellness),"Lot G-01, Ground Floor, AEON Bandar Dato Onn, No. 3, Jalan Dato Onn 3",Bandar Dato Onn,Tebrau,Johor Bahru,Johor,81100,Runcit,2020/12/31 00:00:00.000
AEON Co. (M) Bhd (AEON Wellness),"Lot 18 & 19, Level UG","Publika Shopping Gallery, No 1, Jalan Dutamas 1, Solaris Dutamas",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,50480,Runcit,2020/12/31 00:00:00.000
Aeon Co. (M) Bhd [Aeon Wellness Pharmacy],Lot G23 Ground Floor Aeon Cheras Selatan Shopping Centre,Lebuh Tun Hussein Onn Balakong,Cheras,Hulu Langat,Selangor,43200,Runcit,2020/12/31 00:00:00.000
AEON Co. (M) Bhd [AEON Wellness Pharmacy],LG 85,"Queensbay Mall, Persiaran Bayan Indah",Bayan Lepas,Barat Daya,Pulau Pinang,11900,Runcit,2020/12/31 00:00:00.000
Aeon Co. (M) Bhd [Aeon Wellness Pharmacy],"Tingkat Bawah Aeon Bandar Puchong Store, Lot G40 IOI Mall Batu 9",Jalan Puchong Bandar,Puchong,Petaling,Selangor,47100,Runcit,2020/12/31 00:00:00.000
Aeon Co. (M) Bhd [Aeon Wellness Pharmacy],"Lot LG2.128-W, Sunway Pyramid Shopping Mall",Jalan Pjs 11/15 Bandar Sunway,Petaling Jaya,Petaling,Selangor,46150,Runcit,2020/12/31 00:00:00.000
AEON CO. (M) BHD [AEON WELLNESS],"Lot G93, Aeon Bandaraya Melaka Shopping Centre, No.2","Jalan Lagenda , Taman 1-lagenda",Melaka,Melaka Tengah,Melaka,75400,Runcit,2020/12/31 00:00:00.000
AEON CO. (M) BHD [AEON WELLNESS],"AEON CO. (M) BHD, AEON WELLNESS, UNIT LG AT-3A, TKT TERBAWAH","Mid Valley Megamall, Mid Valley City, Lingkaran Syed Putra",Kuala Lumpur,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur dan Putrajaya,59200,Runcit,2020/12/31 00:00:00.000
