MAL19988414T,SERBUK HERBA TAMRA,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,ELPAR HERBS SDN. BHD.,ELPAR HERBS SDN. BHD.
MAL19973177T,FOREVER BEE PROPOLIS,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,FOREVER LIVING PRODUCTS (M) SDN. BHD.,"ALOE VERA OF AMERICA, INC."
MAL19992970T,BALSAM PAK TANI,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,PERUSAHAAN JAMU ARJUNA SDN. BHD.,PERUSAHAAN JAMU ARJUNA SDN. BHD.
MAL19973070T        ,SPIRULINA TABLET 560MG,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,TAIWAY MARKETING (M) SDN. BHD.,TAIWAY NUTRITION INC
MAL20000576T,JEN JING TAN (POWDER),NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20000574T,PAU YING TAN (POWDER),NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20000575T,CHING SUE SIAU YEN WAN (CAPSULE),NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20020660TC       ,CHAN FUI LOONG HERBAL TEA,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,CHAN FUI LOONG MEDICAL HALL,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.
MAL20014152T,SHI RE DU TONG SAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20001714TC,Hurix"s 900 FluCold Capsule,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,JIN BIN CORPORATION SDN. BHD.,J.B. PHARMACY GROUP SDN. BHD.
MAL20013320T,BA BAO ZHEN ZHU JING FENG SAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20013323T,FU KE TONG JING WAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20013326T,ZHU PAK JEN JING TAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20013650T,CHAN HOU FU KE WU JIN WAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20013961T,CHAN HOU OU KIM WAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20020196T,TONG CHONG CAO CHUAN BEI ZI KE WAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20014261T,SHE RE HUO XIONG DU TONG WAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20014262T,QU FENG SU HE WAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20020198T,BA BAO ZHU PAK CHIN FENG SAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20014260T,BA BAO ZHU PAK ZHEN CHIN DAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20020194T,BA ZHEN YAN YEN BAI FENG WAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20014258T,CHONG CAO CHUAN BEI HOU ZAO SAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20020193T,HUO XIANG SHE RE DU TONG WAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20014633T,ZHU PAK JING JING DAN,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20014423T,SORE THROAT POWDER SPRAY,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20032102T,SHANG FENG WAN 500,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING
MAL20033984TC       ,PILL FONG SAR CAP NAGA,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,CHAN FUI LOONG MEDICAL HALL,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.
MAL20032356TCRS     ,BLACKMORES GINKGO FORTE 2000 TABLET (SECOND SOURCE),NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,BLACKMORES (MALAYSIA) SDN. BHD.,CATALENT AUSTRALIA PTY LTD
MAL20041123TC,MAAJUN WARISAN TRADISIONAL UBI JAGA PLUS,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,Mat Zaini Bin Mat Rani,SERI MH UMMI SDN BHD
MAL20033433TC       ,BIOHERBA AKI,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,AGRO BIO TRADING,ORIENT LABORATORIES SDN. BHD.
MAL20032081TE,NU-PREP 125MG,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,Biotropics Malaysia Berhad,PHYTES BIOTEK SDN. BHD.
MAL20034706T,LKH NATURAL LINGZHI,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,DECHOICE SDN BHD,DECHOICE SDN BHD
MAL20040600T,SLIMAS POWDER,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,Yamni Industry,JABBAR HERBS MANUFACTURING SDN. BHD.
MAL05090031T,Mach - Oil,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,ART SOULIST HOLDINGS SDN. BHD.,ART SOULIST HOLDINGS SDN. BHD.
MAL05092466TC   ,PIL BIJI UBAT CHAN FUI LOONG,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,CHAN FUI LOONG MEDICAL HALL,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.
MAL05092289T,LKH Natural LingZhi 250mg,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,DECHOICE SDN BHD,DECHOICE SDN BHD
MAL05072099T,Tongkat Ali Capsule 350mg,NATURAL PRODUCT,00:00.0,00:00.0,53:27.0,DECHOICE SDN BHD,DECHOICE SDN BHD
